Name,Symbols,ISIN Code,Industry Group,Industry
Integrity Infra.,INTEGRITY,INE0YSH01017,Construction,Civil Construction
Trust Fintech,TRUST,INE0SWN01019,IT - Software,Software Products
ANI Integrated,AISL,INE635Y01015,Commercial Services & Supplies,Diversified Commercial Services
K2 Infragen,K2INFRA,INE0DEZ01013,Construction,Civil Construction
Asston Pharmaceu,544445,INE0SJX01015,Pharmaceuticals & Biotechnology,Pharmaceuticals
Innovative Tyres,ITTL,INE070Y01023,Auto Components,Tyres & Rubber Products
Dar Credit & Cap,DCCL,INE04Q901010,Finance,Non Banking Financial Company (NBFC)
Harikanta Overseas,544769,INE1UYW01010,Textiles & Apparels,Other Textile Products
Jayant Infratech,543544,INE0KR801019,Construction,Civil Construction
Saj Hotels,SAJHOTELS,INE00MT01022,Leisure Services,Hotels & Resorts
Siddhi Cotspin,SIDDHICOTS,INE0SVO01019,Textiles & Apparels,Other Textile Products
Jungle Camps,544304,INE0WCH01015,Leisure Services,Hotels & Resorts
Alcokraft Dist.,ALCODIS,INE448V01019,Beverages,Breweries & Distilleries
Rachana Infra.,RILINFRA,INE02OY01016,Construction,Civil Construction
Veekayem Fash.,VEEKAYEM,INE0KTW01013,Textiles & Apparels,Garments & Apparels
Omfurn India,OMFURN,INE338Y01016,Consumer Durables,"Furniture, Home Furnishing"
Malpani Pipes,544351,INE0YON01014,Industrial Products,Plastic Products - Industrial
Rajgor Castor,RCDL,INE0BZQ01011,Agricultural Food & other Products,Edible Oil
Zenith Drugs,ZENITHDRUG,INE0QWN01013,Pharmaceuticals & Biotechnology,Pharmaceuticals
BEW Engg,BEWLTD,INE0HQI01014,Industrial Manufacturing,Industrial Products
Sunrise Efficie.,543515,INE0KPY01017,Commercial Services & Supplies,Trading & Distributors
Valplast Technol,544565,INE0QP701017,Construction,Civil Construction
Diksha Polymers,544798,INE1OSI01014,Industrial Products,Packaging
Chatterbox Tech,544546,INE1B4801017,Media,Advertising & Media Agencies
Lead Reclaim,LRRPL,INE0H4B01011,Industrial Products,Rubber
AJC Jewel,544425,INE0XRR01010,Consumer Durables,"Gems, Jewellery And Watches"
Aristo Bio-Tech,ARISTO,INE082101010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Premium Plast,PREMIUM,INE0M1F01011,Auto Components,Auto Components & Equipments
Divyadhan Recy.,DIVYADHAN,INE0QYI01019,Textiles & Apparels,Other Textile Products
H.M. Electro,544349,INE0DZD01015,Construction,Civil Construction
Swastika Castal,544452,INE0PTF01017,Industrial Products,Castings & Forgings
Slone Infosys.,SLONE,INE0SMA01017,IT - Hardware,Computers Hardware & Equipments
Womancart,WOMANCART,INE0Q9601016,Retailing,E-Retail/ E-Commerce
Accord Synergy,ACCORD,INE113X01015,Telecom - Services,Other Telecom Services
Mangalam Alloys,MAL,INE00C401011,Industrial Products,Iron & Steel Products
Maxposure,MAXPOSURE,INE0ECC01022,Entertainment,Media & Entertainment
Ameya Precision,AMEYA,INE0KT901015,Industrial Products,Other Industrial Products
Modern Diagnost.,544673,INE1HK501016,Healthcare Services,Healthcare Service Provider
Repono,544463,INE15WN01014,Oil,Oil Storage & Transportation
Signoria Creatio,SIGNORIA,INE0RDE01010,Textiles & Apparels,Garments & Apparels
Jyoti Global,JYOTIGLOBL,INE1M3T01017,Industrial Products,Packaging
Ashapura Logi.,ASHALOG,INE0LAA01017,Transport Services,Logistics Solution Provider
Gujarat Peanut,544548,INE0SIK01014,Food Products,Other Food Products
Vdeal System,VDEAL,INE0U2M01015,Electrical Equipment,Other Electrical Equipment
Amrapali Capital,536737,INE218P01018,Finance,Non Banking Financial Company (NBFC)
Indian Emuls,IEML,INE0RRU01016,Chemicals & Petrochemicals,Specialty Chemicals
Shri Hare-Krish.,SHKSIL,INE0NON01025,Ferrous Metals,Sponge Iron
Delaplex,DELAPLEX,INE0SK801018,IT - Software,Computers - Software & Consulting
Autofurnish,544767,INE18HI01019,Auto Components,Auto Components & Equipments
Ravelcare,544629,INE0W4D01018,Personal Products,Personal Care
New Swan,544082,INE0GEN01012,Auto Components,Auto Components & Equipments
Service Care Ltd,SERVICE,INE0P1Q01015,Commercial Services & Supplies,Diversified Commercial Services
Brace Port,BRACEPORT,INE0R4Z01018,Transport Services,Logistics Solution Provider
Technichem Org.,544327,INE0ZHT01012,Chemicals & Petrochemicals,Specialty Chemicals
Ambani Orgochem,AMBANIORGO,INE00C501018,Chemicals & Petrochemicals,Specialty Chemicals
Umiya Mobile,544464,INE1P1A01018,Retailing,Speciality Retail
Gem Enviro,544199,INE0RUJ01013,Other Utilities,Waste Management
Onyx Biotec,ONYX,INE0WVU01018,Pharmaceuticals & Biotechnology,Pharmaceuticals
Propshop Events,PROPSHOP,INE1FFX01018,Commercial Services & Supplies,Diversified Commercial Services
Amwill Health,544353,INE0U2L01017,Pharmaceuticals & Biotechnology,Pharmaceuticals
Shri Balaji,544074,INE0RNZ01014,Industrial Manufacturing,Industrial Products
Maitreya Medica.,MAITREYA,INE0PLQ01011,Healthcare Services,Hospital
Nukleus Office,544370,INE0VYX01018,Commercial Services & Supplies,Diversified Commercial Services
Siyaram Recycli.,544047,INE0QSK01017,Industrial Products,Other Industrial Products
Aakaar Medical,AAKAAR,INE1GYP01013,Personal Products,Personal Care
Clara Industries,543435,INE0JJS01014,Industrial Products,Packaging
Yajur Fibres,544676,INE0CNJ01010,Textiles & Apparels,Other Textile Products
Curis Lifescien.,CURIS,INE1BZN01016,Pharmaceuticals & Biotechnology,Pharmaceuticals
Visdem Technosys,VISDEM,INE0OWX01025,Consumer Durables,Consumer Electronics
Droneacharya Aer,543713,INE0MQD01015,Commercial Services & Supplies,Diversified Commercial Services
Kaytex Fabrics,KAYTEX,INE13ZD01013,Textiles & Apparels,Garments & Apparels
Viaz Tyres,VIAZ,INE0MO401019,Auto Components,Tyres & Rubber Products
Mayasheel Vent.,MAYASHEEL,INE0ZTO01018,Construction,Civil Construction
Zeal Global Serv,ZEAL,INE0PPS01018,Transport Services,Logistics Solution Provider
Marushika Tech.,MARUSHIKA,INE0X7G01013,IT - Hardware,Computers Hardware & Equipments
Dev Labtech,543848,INE0NIJ01025,Consumer Durables,"Gems, Jewellery And Watches"
Silicon Rental,543615,INE0MNV01014,Commercial Services & Supplies,Diversified Commercial Services
Lakshya Powertec,LAKSHYA,INE0VZS01015,Construction,Civil Construction
Sellowrap Indus.,SELLOWRAP,INE0IJF01013,Auto Components,Auto Components & Equipments
Utkal Speciality,UTKAL,INE1V1R01014,"Paper, Forest & Jute Products",Paper & Paper Products
Sodhani Academy,544257,INE0Q3401017,Other Consumer Services,E-Learning
Ideal Technopl.,IDEALTECHO,INE0T9I01011,Industrial Products,Packaging
Narmadesh Brass,544680,INE0S1B01014,Industrial Products,Other Industrial Products
My Mudra Fin.,MYMUDRA,INE0RVQ01016,Finance,Other Financial Services
Mehul Telecom,544751,INE1K0V01011,Retailing,Speciality Retail
WOL 3D India,WOL3D,INE0OO201011,Industrial Products,Other Industrial Products
Upsurge Seeds,USASEEDS,INE0CBM01019,Agricultural Food & other Products,Other Agricultural Products
Kandarp Digi,KANDARP,INE0MOT01016,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Shree OSFM,SHREEOSFM,INE02S501018,Transport Services,Road Transport
Super Iron,544381,INE16IQ01014,Industrial Products,Castings & Forgings
Excellent Wires,EXCELLENT,INE0Y4801011,Industrial Products,Other Industrial Products
Happy Steels,HAPPY,INE1GFG01011,Auto Components,Auto Components & Equipments
Vels Film,VELS,INE0I3H01019,Entertainment,"Film Production, Distribution & Exhibition"
Highness Microelectronics,544741,INE1KI801019,Industrial Manufacturing,Industrial Products
Deepak Chemtex,544036,INE0RDM01013,Chemicals & Petrochemicals,Specialty Chemicals
Konstelec Engg.,KONSTELEC,INE0QEI01011,Construction,Civil Construction
Emkay Taps & Cut,EMKAYTOOLS,INE332S01011,Industrial Manufacturing,Industrial Products
NIS Management,544495,INE0M3X01010,Other Consumer Services,Other Consumer Services
Jay Ambe Super.,544514,INE1DRH01011,Retailing,Diversified Retail
Ken Enter.,KEN,INE15DO01012,Textiles & Apparels,Other Textile Products
Chetana Educa.,CHETANA,INE0U1T01012,Printing & Publication,Printing & Publication
Sylvan Plyboard,SYLVANPLY,INE01IH01015,Consumer Durables,Plywood Boards/ Laminates
Invicta Diagnos.,INVICTA,INE0XJ501010,Healthcare Services,Healthcare Service Provider
G M Polyplast,543239,INE0E2801015,Industrial Products,Plastic Products - Industrial
Shree Balaji (Ma,544835,INE1N3Y01016,,
Drone Destinatio,DRONE,INE0P7201019,Other Consumer Services,Education
Classic Electrod,CLASSICEIL,INE0UQ601012,Industrial Products,Other Industrial Products
Paragon Fine,PARAGON,INE0N4G01012,Chemicals & Petrochemicals,Dyes And Pigments
Arabian Petrol.,ARABIAN,INE08NJ01024,Petroleum Products,Lubricants
M P K Steels,544553,INE1PJP01015,Industrial Products,Iron & Steel Products
Rachit Prints,544503,INE0ZN101029,Textiles & Apparels,Other Textile Products
Smarten Power,SMARTEN,INE14GK01016,Electrical Equipment,Other Electrical Equipment
Techknowgreen,543991,INE0P4P01011,Commercial Services & Supplies,Consulting Services
Diensten Tech,DTL,INE0JRD01019,Commercial Services & Supplies,Diversified Commercial Services
Leo Dryfruits,544329,INE0RH001011,Food Products,Other Food Products
Moxsh Overseas,MOXSH,INE0N6D01014,Other Consumer Services,Education
Sharp Chucks and,SCML,INE460Q01014,Industrial Products,Castings & Forgings
Premier Roadline,PRLIND,INE0CFG01012,Transport Services,Logistics Solution Provider
Fonebox Retail,FONEBOX,INE0Q4701019,Retailing,Speciality Retail
DCG Cables,DCG,INE0S8401018,Industrial Products,Cables - Electricals
Vigor Plast,VIGOR,INE1DM601016,Industrial Products,Plastic Products - Industrial
Retaggio Indust.,544391,INE0KWJ01014,Consumer Durables,"Gems, Jewellery And Watches"
Sotac Pharma.,SOTAC,INE0O2D01012,Pharmaceuticals & Biotechnology,Pharmaceuticals
Resgen,543805,INE0NYN01016,Petroleum Products,Refineries & Marketing
Aaradhya Dis.,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products
Rukmani Devi Gar,544552,INE0S5T01017,Food Products,Other Food Products
Bikewo Green,BIKEWO,INE0SQH01013,Automobiles,Auto Dealer
Renol Polychem,RNPL,INE0VZX01015,Chemicals & Petrochemicals,Specialty Chemicals
Party Cruisers,PARTYCRUS,INE06ZX01015,Other Consumer Services,Other Consumer Services
MRP Agro,543262,INE0D7801012,Retailing,Distributors
KCK Industries,KCK,INE0J1E01027,Agricultural Food & other Products,Other Agricultural Products
Kay Cee,KCEIL,INE0RCG01017,Construction,Civil Construction
Purv Flexi,PURVFLEXI,INE0R6C01012,Industrial Products,Plastic Products - Industrial
Kabra Jewels,KKJEWELS,INE0XOW01017,Consumer Durables,"Gems, Jewellery And Watches"
Manilam Industries,MANILAM,INE1ERK01013,Consumer Durables,Plywood Boards/ Laminates
Rama Telecom,RTL,INE14W901010,Telecom - Services,Telecom - Infrastructure
Gabion Technol.,544675,INE1H1501013,Industrial Manufacturing,Industrial Products
S. V. J. Enterp.,543799,INE0JZS01010,"Paper, Forest & Jute Products",Paper & Paper Products
Sampark India,544810,INE147701010,Transport Services,Logistics Solution Provider
Biopol Chemicals,BIOPOL,INE0XW001014,Chemicals & Petrochemicals,Specialty Chemicals
Mobilise App,MOBILISE,INE1YNB01019,IT - Software,Software Products
Matrix Geo Sol.,MGSL,INE132901013,IT - Services,IT Enabled Services
Holmarc Opto,HOLMARC,INE0LXA01019,Industrial Products,Other Industrial Products
ROX Hi-Tech,ROXHITECH,INE0PDJ01013,IT - Services,IT Enabled Services
Praruh Tech,544538,INE0TI501017,IT - Services,IT Enabled Services
Marvel Decor,MDL,INE575Z01010,Consumer Durables,"Furniture, Home Furnishing"
KHFM Hospitality,KHFM,INE00UG01014,Commercial Services & Supplies,Diversified Commercial Services
Oval Projects,544498,INE0RTI01017,Construction,Civil Construction
TBI Corn,TBI,INE0N2D01013,Agricultural Food & other Products,Other Agricultural Products
Emiac Technologies,544747,INE1OSW01015,Media,Web based media and service
Dachepalli Pub.,544667,INE1F9M01018,Printing & Publication,Printing & Publication
Mayank Cattle Fo,544106,INE0R5Z01015,Food Products,Animal Feed
Jeyyam Global,JEYYAM,INE0RXB01022,Food Products,Other Food Products
Crop Life Scienc,CLSL,INE00NH01017,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Prodocs Solution,544643,INE10XK01019,IT - Services,IT Enabled Services
Striders Impex,STRIDERS,INE1XWN01017,Consumer Durables,Leisure Products
Srinibas Pradhan,SPCON,INE0TPJ01019,Construction,Civil Construction
Patdiam Jeweller,539401,INE473T01011,Consumer Durables,"Gems, Jewellery And Watches"
Greenchef Appli.,GREENCHEF,INE0O7P01015,Consumer Durables,Household Appliances
Value 360 Commu.,VALUE360,INE1E7Y01018,Media,Advertising & Media Agencies
Mega Flex Plast.,MEGAFLEX,INE0G1D01014,Industrial Products,Packaging
Dollex Agrotech,DOLLEX,INE0JHH01011,Agricultural Food & other Products,Sugar
Vijaypd Ceutical,VIJAYPD,INE0WL901019,Electrical Equipment,Heavy Electrical Equipment
Aluwind Infra,ALUWIND,INE0STM01017,Industrial Products,"Aluminium, Copper & Zinc Products"
Jayesh Logistics,JAYESH,INE1AE401014,Transport Services,Logistics Solution Provider
KVS Castings,544554,INE163701019,Industrial Products,Castings & Forgings
Kore Digital,KDL,INE0O4R01018,Telecom - Services,Telecom - Infrastructure
Readymix Cons.,READYMIX,INE10QL01011,Construction,Civil Construction
Nephro Care,NEPHROCARE,INE0SUN01013,Healthcare Services,Hospital
Urban Enviro,URBAN,INE0O0201019,Other Utilities,Waste Management
Shigan Quantum,SHIGAN,INE03KJ01013,Auto Components,Auto Components & Equipments
Forge Auto,FORGEAUTO,INE0YKW01013,Auto Components,Auto Components & Equipments
Srivasavi Adhes.,SRIVASAVI,INE0NPI01014,Industrial Products,Other Industrial Products
Giriraj Civil,GIRIRAJ,INE614Z01017,Construction,Civil Construction
Richa Info,RICHA,INE0J1P01015,IT - Hardware,Computers Hardware & Equipments
V R Infraspace,VR,INE0QQM01017,Realty,"Residential, Commercial Projects"
Pro FX,PROFX,INE0VJT01017,Consumer Durables,Consumer Electronics
Accord Transformer,544710,INE132201018,Electrical Equipment,Heavy Electrical Equipment
Aesthetik Engi.,AESTHETIK,INE0TSF01011,Construction,Civil Construction
Winsol Engineers,WINSOL,INE0S3D01016,Construction,Civil Construction
Siddhika Coatins,SIDDHIKA,INE0A1E01018,Consumer Durables,Paints
Aztec Fluids,544177,INE0SCB01016,IT - Hardware,Computers Hardware & Equipments
Rapid Fleet,RAPIDFLEET,INE0QX901013,Transport Services,Logistics Solution Provider
Positron Energy,POSITRON,INE0S3H01017,Commercial Services & Supplies,Diversified Commercial Services
Atharva Poly-Plast,544812,INE226801012,Consumer Durables,Plastic Products - Consumer
Shyam Dhani Ind.,SHYAMDHANI,INE1CRP01016,Food Products,Other Food Products
Harshdeep Horti.,544105,INE0OLZ01015,Agricultural Food & other Products,Other Agricultural Products
Dharni Capital,543753,INE0M9Q01011,Capital Markets,Financial Products Distributor
Sheel Bio.,SHEEL,INE0YJV01017,Commercial Services & Supplies,Diversified Commercial Services
Aeron Composites,AERON,INE0WL801011,Industrial Products,Other Industrial Products
Karbonsteel Eng.,544511,INE0V8A01016,Construction,Civil Construction
Avience Biomedi.,AVIENCE,INE0V9I01017,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Enser,ENSER,INE0R9I01021,IT - Services,IT Enabled Services
NSB BPO,544571,INE0SLP01017,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Barflex Polyfilm,BARFLEX,INE0QX401014,Industrial Products,Packaging
Manoj Ceramic,544073,INE0A6N01026,Consumer Durables,Ceramics
Speciality Medi.,544738,INE0R0M01014,Pharmaceuticals & Biotechnology,Pharmaceuticals
Yaashvi Jewellers,544770,INE1T6L01010,Consumer Durables,"Gems, Jewellery And Watches"
Safety Controls,544746,INE0UMH01018,Construction,Civil Construction
Methodhub Software,544637,INE0QZR01017,IT - Software,Computers - Software & Consulting
GenXAI Analytics,GENXAI,INE1W0N01014,,
Canarys Automa.,CANARYS,INE0QG301017,IT - Software,Computers - Software & Consulting
Energy-Mission,EMMIL,INE0S1L01013,Industrial Manufacturing,Industrial Products
Sharvaya Metals,544506,INE0UJF01018,Industrial Products,"Aluminium, Copper & Zinc Products"
Desco Infra.,544387,INE0TGG01014,Construction,Civil Construction
Envirotech Sys.,ENVIRO,INE0SUH01015,Industrial Products,Other Industrial Products
Star Imaging,544482,INE0YG001013,Healthcare Services,Healthcare Service Provider
Crazy Snacks,544807,INE0RBX01014,Food Products,Packaged Foods
Oneindig Technologies,544852,INE0UR501013,Construction,Civil Construction
Shri Techtex,SHRITECH,INE0OMF01015,Industrial Products,Plastic Products - Industrial
Maiden Forgings,543874,INE0O1T01010,Industrial Products,Iron & Steel Products
Enfuse Solutions,ENFUSE,INE0S3X01014,IT - Services,IT Enabled Services
Rockingdeals Cir,ROCKINGDCE,INE0PTR01012,Commercial Services & Supplies,Trading & Distributors
Quest Laborato.,QUESTLAB,INE0TNW01017,Pharmaceuticals & Biotechnology,Pharmaceuticals
Focus Business,543312,INE0DXR01010,IT - Software,Computers - Software & Consulting
Avi Ansh,AVIANSH,INE0TFB01017,Textiles & Apparels,Other Textile Products
Sattva Eng.,SATTVAENGG,INE14DW01018,Other Utilities,Water Supply & Management
Alphalogic Indu,543937,INE0NZF01019,Industrial Products,Other Industrial Products
IBL Finance,IBLFL,INE0O7401018,Finance,Non Banking Financial Company (NBFC)
Gallard Steel,544616,INE0BUQ01012,Auto Components,Auto Components & Equipments
Spectrum Talent,SPECTSTM,INE0OL001018,Commercial Services & Supplies,Diversified Commercial Services
Tunwal E-Motors,TUNWAL,INE0OXV01027,Automobiles,2/3 Wheelers
Dhaval Packaging,544854,INE1HX301016,Industrial Products,Packaging
Rajputana Bio.,RAJPUTANA,INE0VHU01019,Chemicals & Petrochemicals,Petrochemicals
Esprit Stones,ESPRIT,INE0SBP01018,Consumer Durables,Granites & Marbles
Surani Steel Tub,SURANI,INE01ZJ01015,Industrial Products,Iron & Steel Products
Mahendra Realtor,MRIL,INE632Q01018,Construction,Civil Construction
Fusion Klassroom Edutech,544856,INE1LMA01010,Other Consumer Services,E-Learning
B. D. Industries,544468,INE1LJ801017,Industrial Products,Plastic Products - Industrial
Neochem Bio,NEOCHEM,INE21UM01018,Chemicals & Petrochemicals,Specialty Chemicals
Infollion Resea.,INFOLLION,INE0NNZ01013,Commercial Services & Supplies,Diversified Commercial Services
Rajputana Indu.,RAJINDLTD,INE0PCU01012,Industrial Products,"Aluminium, Copper & Zinc Products"
Ameenji Rubber,544555,INE14QA01016,Industrial Products,Rubber
SMR Jewels,544774,INE11XK01017,Consumer Durables,"Gems, Jewellery And Watches"
DSM Fresh,544568,INE0SUM01015,Food Products,Meat Products including Poultry
AVP Infracon,AVPINFRA,INE0R9401019,Construction,Civil Construction
N R Vandana,NRVANDANA,INE104101014,Textiles & Apparels,Garments & Apparels
Yashhtej Industries,544708,INE1O6P01016,Agricultural Food & other Products,Edible Oil
Shivalic Power,SPCL,INE0T7B01010,Electrical Equipment,Other Electrical Equipment
Elfin Agro India,544724,INE1FEW01013,Food Products,Other Food Products
Inflame Applian.,541083,INE464Z01017,Consumer Durables,Houseware
Telge Projects,544544,INE0SRP01014,Construction,Civil Construction
De Neers Tools,DENEERS,INE0JWV01011,Industrial Products,Iron & Steel Products
Emerald Tyre,ETML,INE0RHD01013,Auto Components,Tyres & Rubber Products
Lloyds Luxuries,LLOYDS,INE0DTQ01028,Leisure Services,Wellness
S D Retail,SDREAMS,INE0X6F01017,Textiles & Apparels,Garments & Apparels
Apollo Techno,544671,INE0X4A01013,Industrial Manufacturing,Industrial Products
Durlax Top,DURLAX,INE0OUW01013,Consumer Durables,"Furniture, Home Furnishing"
